32785: n#6418901;n#6420678;n#6418693;
44617: n#67526;
44622: n#3544360;n#432164;n#11532017;
44624: n#8163025;n#3544360;n#432164;
44627: n#3544360;n#8685677;n#8078020;
44629: n#432164;n#3544360;n#8078020;
44630: v#2459173;n#8078020;n#3544360;
44635: n#10020890;n#10021892;n#432356;
44638: n#10020890;n#10021892;n#750890;
44640: n#3623556;n#3624134;n#15209413;
44641: n#3623556;n#3624134;n#15209413;
44642: n#3623556;n#3624134;n#15209413;
44695: v#1231652;n#3623556;v#1814815;
44700: a#1527420;n#14625458;n#14586769;
44702: n#9359803;n#9308572;n#13774404;
44704: n#7813107;n#15010703;n#119568;
44706: n#7813107;n#119568;s#803846;
44770: s#2398773;a#1073822;s#803846;
44771: a#1073822;s#803846;s#2398773;
44794: v#2196214;v#213353;v#1375120;
44810: n#7859284;n#14792703;n#14117805;
44811: n#7859284;n#14792703;n#14117805;
44812: n#7859284;n#14792703;n#1323261;
44813: n#7859284;n#547244;n#1495701;
44814: n#7859284;v#2195951;n#14792703;
44874: v#2195951;n#7859284;n#1323261;
44875: v#2195951;n#7859284;n#1323261;
44877: n#2157557;n#13918274;n#5559256;
44878: n#2157557;n#13918274;n#10689104;
44881: v#2001858;n#2157557;n#4316646;
44889: n#2848216;n#6255777;n#13152742;
44890: n#2848216;n#4373894;n#4188643;
44891: n#2848216;n#8102555;n#4426788;
44892: n#2848216;n#5236029;n#4373894;
44894: n#2848216;n#4208210;n#3873699;
44900: n#13440779;n#247792;r#3846;
44901: n#13440779;n#247792;r#3846;
44904: n#14716997;n#2891788;n#2892201;
44905: n#2891788;n#14716997;n#2892304;
44906: n#2891788;n#8217135;n#8164585;
44910: n#14716997;n#2891788;n#2892304;
44914: n#5385534;n#7652052;n#3659292;
44916: a#444519;r#409709;s#452883;
44917: r#409709;a#444519;r#73033;
44918: a#444519;s#451872;r#409709;
44921: s#1744515;s#438909;a#438707;
44922: s#1810189;a#800826;s#438909;
44926: a#800826;s#1744515;s#1810189;
44929: s#1744515;a#21766;s#631798;
44930: s#1744515;s#780352;s#1810189;
44932: s#780352;s#1744515;s#438909;
44937: a#800248;s#440579;v#1246444;
44938: s#1345307;a#806512;a#800248;
44939: s#440579;a#800248;n#167764;
44940: s#440579;a#439588;n#3259505;
44941: v#391971;s#36998;a#806512;
44942: a#1638438;a#1643620;s#1729566;
44943: a#1643620;a#1638438;s#1729566;
44944: a#1638438;s#1729566;a#1643620;
44945: a#1643620;a#1638438;s#820219;
44965: v#2614387;v#2649830;v#2614181;
44966: v#2649830;v#2614181;a#1422556;
44967: v#2618149;v#2614181;v#2616713;
44979: a#94448;a#1422556;r#259019;
44980: r#259019;a#1422556;s#1744515;
44990: r#259019;a#1422556;v#2649830;
44991: n#7519253;n#7524529;n#7521039;
44992: n#7519253;n#7524529;n#7521039;
44993: n#7519253;n#7521039;n#7524529;
44996: n#5032351;n#5298988;n#7651454;
44997: n#5032351;n#4857490;n#5385534;
44998: v#76400;n#118733;n#14855992;
44999: n#118733;n#14855992;n#3283519;
45001: n#5556943;n#5395690;n#5555917;
45002: v#1169704;v#1854888;v#2765692;
45003: v#1169704;v#1854888;n#842692;
45004: v#1169704;v#1854888;v#1539063;
45009: v#1448100;v#1351170;v#1505254;
45010: v#1448100;v#1351170;v#1505254;
45014: v#1871979;
45016: v#1871979;
45020: n#3364340;v#1514887;v#1874568;
45024: v#1904293;v#1902783;v#566181;
45025: v#1904293;v#1902783;v#765649;
45026: v#1904293;v#1874568;v#1838651;
45027: v#1904293;v#1902783;v#1838651;
45028: v#1838651;v#1874568;n#3364340;
45032: n#9969218;n#634586;v#685081;
45033: n#634586;n#33615;n#33615;
45034: n#634586;v#712556;n#13591761;
45036: v#948071;v#947857;v#2645839;
45037: v#948071;v#712556;v#2645839;
45038: n#511817;n#7007945;n#430140;
45040: n#7007945;n#511817;v#1629589;
45042: v#1725051;v#1726172;v#1719921;
45043: v#1719921;v#2418686;v#1714208;
45048: v#2066939;v#2066510;n#8461595;
45049: n#13482330;n#7405893;n#329227;
45050: n#14005892;n#329227;n#7405893;
45052: n#14839846;n#14840092;n#14997012;
45053: v#1244351;n#14840092;v#1612660;
45054: v#1244351;n#14840092;v#1612660;
45056: n#14839846;n#1172441;n#14840092;
45058: n#15019030;n#5032351;n#9217230;
45060: n#15019030;n#5032351;n#8497107;
45061: n#15019030;n#5032351;n#2987492;
45062: v#1386433;n#15019030;n#5032351;
45063: v#1386433;n#15019030;n#5032351;
45065: n#9416076;n#14696793;n#4326084;
45067: n#11684739;v#179567;n#13720600;
45069: n#9416076;n#14696793;n#11684739;
45070: v#1323518;n#13720600;n#4326084;
45072: n#13720600;n#4326084;n#9416076;
45073: s#384195;n#4629958;n#14696793;
45074: s#384195;n#4629958;n#9416076;
45078: n#11458314;n#14521648;v#2157731;
45079: n#11458314;n#5684561;n#5282746;
45082: n#11458314;n#4452848;n#5282746;
45084: v#2157731;n#11458314;n#4452848;
45086: v#2157731;n#11458314;n#4452848;
45090: n#4103491;n#13556893;n#11508092;
45093: v#1198101;v#2767922;n#834636;
45094: v#1198101;n#834636;n#11508092;
45095: v#2767922;v#1198101;n#834636;
45097: n#13480848;v#2759443;n#9849598;
45100: n#13480848;v#824593;v#2762981;
45102: n#14769160;n#12303462;n#12303921;
45103: n#12303462;n#12303921;v#383437;
45104: n#12303921;n#12303462;n#14769160;
45106: a#1083157;s#2300501;s#522885;
45107: s#515380;s#522885;s#106020;
45108: s#515380;s#522885;s#106020;
45109: s#2300501;a#1083157;s#515380;
45111: s#515380;a#1083157;s#522885;
45112: a#1083157;n#6255777;s#515380;
45113: v#151689;v#441445;v#431826;
45114: v#441445;v#151689;n#7355887;
45115: n#5109808;n#351638;n#6516955;
45119: n#13910384;n#28651;n#6862202;
45120: n#6862202;n#6839190;n#6389553;
45122: n#13910384;n#28651;n#7905038;
45123: n#13910384;n#28651;n#7905038;
45130: v#1244853;n#4517823;n#8653474;
45131: v#1244853;n#4517823;n#8653474;
45157: n#13779032;n#4990220;n#6413666;
45158: n#4990220;n#13779032;n#5035353;
45159: n#13779032;n#4990220;n#2870092;
45160: n#2870092;n#6413666;n#6413579;
45161: n#5099389;n#4990220;n#13779032;
45165: n#1034385;r#24682;s#2269039;
45166: n#1034385;s#2269039;r#24682;
45168: n#9923418;n#7846;n#1034385;
45172: a#1551633;n#13751533;r#35058;
45173: a#1551633;v#668099;v#78401;
45174: s#2275892;s#1070716;n#770997;
45177: a#631391;s#1879261;a#633410;
45178: v#199659;v#296178;a#633410;
45180: n#11508382;n#3066743;n#15043763;
45181: n#11508382;n#15043763;v#2758977;
45182: n#11508382;n#15043763;v#2758977;
45183: n#11508382;n#15043763;v#2758977;
45186: n#3753077;n#13659162;n#7094093;
45188: n#2013177;n#2012849;n#2013034;
45191: n#166552;n#4460130;n#2980441;
45192: n#3281145;n#4231693;v#1973759;
45193: n#309276;n#3281145;n#4231693;
45194: n#11422277;n#116376;n#3281145;
45195: v#1974062;v#1455184;v#1973759;
45198: n#6254915;n#14709102;n#14847103;
45199: n#6254915;n#14709102;n#14847103;
45200: n#6254915;n#14709102;n#14847103;
45201: n#2433729;n#2433546;n#2430045;
45202: n#8173515;n#14637176;
45204: n#3670339;n#5694232;n#9442723;
45206: n#3613294;n#6492188;n#5794057;
45208: n#3613294;n#5794057;n#6492188;
45209: n#3613592;n#3613294;n#6492188;
45210: n#3613592;n#3613294;n#6492188;
45211: n#6863751;n#3613294;n#3613592;
45212: n#3613294;n#5794057;n#6492188;
45213: n#3613294;n#6492188;n#5794057;
45214: n#3613294;n#6492188;n#5794057;
45215: n#3613294;n#6492188;n#5794057;
45216: n#3613294;n#6492188;n#5794057;
45218: n#3613294;n#6371413;n#6346891;
45220: n#9325395;v#652346;s#1277097;
45222: n#3287733;n#3684823;n#3789946;
45223: n#3684823;n#3287733;n#3230670;
45224: n#3287733;n#11417561;n#3684823;
45231: n#11456760;n#5996646;n#8569998;
45232: n#8551628;n#8570758;n#11456760;
45239: n#6841987;n#7101937;n#6844199;
45240: n#7101937;n#6841987;n#7503430;
45241: n#6431740;n#6422643;n#6544142;
45242: n#9505418;n#4854976;n#9535622;
45260: n#3138669;n#6884097;n#5308141;
45263: n#3138669;n#6884097;n#13128003;
45264: n#8617963;n#5539595;n#6884097;
45265: n#8617963;n#8547544;n#9360122;
45270: n#3138669;n#6884097;n#13128003;
45271: n#3138669;n#6884097;n#5308141;
45272: n#3138669;n#3138981;n#6884097;
45274: n#3138669;n#3138856;v#485891;
45275: v#2390949;v#2694677;v#1338247;
45276: v#2390949;v#485891;n#3138669;
45278: n#6525588;n#6772260;n#6520944;
45282: v#105333;v#2767308;v#983824;
45287: a#1484987;a#1486197;s#1478182;
45292: s#2144436;s#2451551;s#1022367;
45293: s#2144436;s#2451551;a#1024073;
45294: n#8612049;n#5285275;n#582388;
45295: v#2043982;n#5285275;n#8612049;
45296: n#13892237;n#8627805;n#8627805;
45299: s#364881;s#1126841;a#1150475;
45300: s#1126841;s#364881;a#1361863;
45302: s#364881;a#1150475;a#1150475;
45306: n#10053439;n#10499355;n#9987573;
45307: n#8558488;n#603866;n#14442933;
45312: n#9843309;n#9840435;n#9840520;
45314: n#10038778;n#10038620;v#135857;
45315: n#10038778;n#10038620;n#10472799;
45317: n#10038409;n#10474064;n#10023264;
45318: n#8557131;n#14432744;n#13389475;
45319: n#9970402;n#1168961;n#1243674;
45320: n#8546183;n#8546870;n#8587828;
45321: n#8546183;n#8546870;n#8587828;
45322: n#8544813;n#8178547;n#8168978;
45323: n#8654360;n#8168978;n#8178547;
45324: n#24720;n#14479615;n#8168978;
45328: v#878136;v#1009240;v#939277;
45330: n#8303275;n#1153305;n#8303504;
45331: n#10041373;n#9969218;n#7000195;
45332: n#5297523;n#3854065;n#8349350;
45333: n#3854065;n#3494537;n#3273551;
45334: n#5297523;n#3854065;n#8349350;
45335: n#4475;n#8436036;n#8008335;
45338: n#13465998;n#13465809;n#5753379;
45339: n#5753379;n#13465998;n#13434688;
45341: a#1233347;a#1235859;n#436187;
45342: n#3158885;n#6828529;n#3205458;
45358: n#10628644;n#10231515;n#2279972;
45360: a#110497;s#2071973;n#4746430;
45367: n#5267345;n#15074962;n#3309808;
45369: n#5267345;n#15074962;n#3309808;
45371: n#7942152;n#8180190;n#8160276;
45372: n#8160276;n#7942152;n#8180190;
45373: n#7942152;n#8160276;n#8180190;
45375: n#8180190;n#8160276;n#7942152;
45376: v#451461;n#7942152;n#8160276;
45378: v#451461;n#7942152;n#7971141;
45379: n#8440630;n#10011902;n#14443912;
45380: n#9824135;n#10011902;n#10735298;
45381: a#2818111;s#718635;n#10717337;
45427: n#3211117;n#3211616;n#521209;
45437: s#1564315;s#302951;a#1918984;
45438: r#31304;r#17639;s#1919428;
45439: r#27384;r#17639;r#27918;
45440: r#17639;r#31304;s#1919428;
45454: n#4982478;s#302951;a#1918984;
45455: n#4318982;s#302951;v#461493;
45456: s#302951;s#1919428;v#1764800;
45461: n#3967562;n#3354903;n#4301140;
45509: n#8182379;n#8182716;n#8180190;
45511: n#144632;n#14082303;n#565302;
45512: n#565302;n#569898;n#14082303;
45513: n#6799260;n#14082303;n#5601758;
45515: n#569898;n#14082303;n#1173038;
45517: n#569898;n#14082303;n#1173038;
45518: n#14082303;n#569898;n#1173038;
45526: v#1225970;v#880658;n#14082303;
45530: n#11519702;n#7985223;n#7985628;
45542: n#3836191;n#10332385;n#10278128;
45545: n#5524615;n#7840804;n#1460457;
45547: v#1443021;n#3239726;n#894359;
45548: v#606093;n#894552;n#894359;
45549: n#894552;n#894359;v#1443021;
45550: v#1443021;n#894552;v#606093;
45551: n#3239726;n#894552;v#606093;
45553: n#894552;n#894359;n#3239726;
45556: n#3054901;n#3055159;n#8400870;
45557: n#3055159;n#812526;n#3054901;
45558: n#13865298;n#13899804;n#3156405;
45559: n#13865298;n#3156405;n#13899804;
45560: n#13865298;n#3156405;n#13899804;
45561: n#13865298;n#3156405;n#13899804;
45562: n#13865298;n#3156405;n#13899804;
45564: n#4519153;n#5395286;n#4519536;
45565: n#4519153;n#4519536;n#5395286;
45567: n#7730033;n#11959862;n#11944196;
45568: n#11959632;n#7718747;n#11959862;
45576: n#2377480;n#9346613;n#2374451;
45578: n#6930093;n#10289766;n#7747951;
45579: n#7747951;n#12709901;n#6930093;
45581: n#2377181;n#2374451;n#2377291;
45582: n#2376542;v#57895;n#2376791;
45584: n#2376679;n#2374451;s#1293542;
45585: n#2376791;n#3073296;n#2376542;
45587: n#1887896;n#14761334;n#5574332;
45588: n#1887896;n#1888045;n#14761334;
45590: n#5574332;n#1887896;n#1888045;
45591: n#5574332;n#1887896;n#14761334;
45592: n#4530566;n#4194289;n#4531098;
45593: n#4531098;n#5397333;n#4530566;
45594: n#5397333;n#4531098;n#4493381;
45606: n#14997012;n#3994008;n#14839846;
45607: n#15016314;n#14997012;n#3994008;
45608: n#14997012;v#42173;v#332154;
45612: n#6308304;v#1297961;n#2755244;
45629: v#358431;v#224295;v#354845;
45642: n#14834132;n#6836059;n#9455206;
45644: n#4218564;n#3161450;n#3797182;
45648: n#3302938;n#14837364;s#2432428;
45662: n#2411999;n#6997587;n#2411705;
45663: n#4259202;n#2860415;n#3065708;
45664: n#2710201;n#2470709;n#9484465;
45665: v#785962;v#789138;v#648224;
45666: v#1108148;v#1101913;v#1109259;
45667: v#1108148;v#1564144;v#1619929;
45668: n#7475364;n#7540866;v#1108148;
45672: n#7939382;n#2742322;v#1474209;
45673: n#2742322;n#7939382;n#3114236;
45676: n#8266235;n#13937075;n#5862721;
45682: n#13730469;n#13729902;a#2929901;
45683: n#13728499;a#514884;s#515870;
45684: n#13728499;a#514884;s#515870;
45687: a#2684971;a#2685153;s#1179345;
45694: n#7881800;n#7881800;a#1240591;
45695: n#15009326;a#1566634;s#1140896;
45697: n#9626238;n#10412910;n#1173038;
45698: n#10412910;n#9626238;v#2168965;
45699: n#2556846;n#2555863;v#1611240;
45702: n#2803349;n#9842528;n#6872354;
45703: n#2803349;n#9842528;n#4986796;
45704: n#2803349;n#9842528;n#4986796;
45705: n#2803349;n#9842528;n#4986796;
45706: n#2803349;n#9842528;n#4986796;
45707: n#2803349;n#2565573;n#7032292;
45710: n#5262185;n#5261566;n#1901828;
45711: v#394813;v#1461152;v#395841;
45717: n#8556491;n#14514039;n#5996646;
45718: n#14514039;n#8556491;n#7965937;
45720: n#8556491;n#14514039;n#5996646;
45721: n#8556491;n#8000118;n#14514039;
45724: n#8556491;n#8000118;n#14514039;
45732: s#2176841;v#1281184;s#2177584;
45733: s#1388062;s#1385255;s#1385773;
45740: n#8585158;n#8510169;n#8544813;
45741: n#3259505;n#8078020;n#8585158;
45742: n#3259505;n#8078020;n#8585158;
45743: n#3259505;n#8559508;n#8585158;
45744: n#10287213;n#14513694;n#3528901;
45747: r#97840;n#3259505;n#14513694;
45748: n#3528100;r#97840;n#3528901;
45751: n#8402442;n#8324514;n#8325686;
45752: n#13320860;n#1140471;n#6478988;
45756: n#2909870;n#13768537;n#13765749;
45758: n#9691149;a#2966972;n#2542958;
45759: a#2966972;n#9691149;n#2542958;
45760: n#4603081;n#892413;n#2746841;
45761: n#4603081;n#892413;n#2746841;
45762: n#3403643;n#13872822;n#3403431;
45763: n#3403431;n#3017428;n#3346455;
45770: v#2070296;v#2758033;v#2069551;
45772: r#88303;r#88777;r#257182;
45776: n#6320314;n#6318352;n#6318904;
45778: n#7106502;n#13886575;n#6758835;
45795: v#1425892;n#839597;n#1318894;
45796: v#1425892;n#902376;n#839597;
45799: n#7641699;v#2640440;n#7695012;
45802: n#7402147;n#7402271;n#7402393;
45806: a#588797;a#1805157;a#1361414;
45807: v#1816844;v#1194238;a#588797;
45817: n#10402824;n#8256968;n#7447641;
45820: n#3159640;n#3962685;n#3961939;
45822: n#3961939;n#3962525;n#3962685;
45823: n#3962685;n#3961939;n#3025250;
45824: n#15101854;v#1180701;n#6501622;
45827: n#6782019;n#5945642;n#5837957;
45828: n#6636259;n#5817396;n#5889896;
45829: n#6636259;n#5817396;n#5889896;
45830: n#6636259;n#5817396;n#5889896;
45831: n#6636259;n#5817396;n#5889896;
45832: n#6636259;n#5817396;n#5889896;
45833: n#6636259;n#5817396;n#5816622;
45834: n#3838298;n#5981230;a#1615180;
45835: n#3838298;n#5981230;a#1615180;
45836: n#3838298;n#5981230;a#1615180;
45837: n#3838298;n#5981230;n#5980875;
45841: n#6765044;n#5710573;n#6767035;
45843: n#4743605;n#6251033;n#4742535;
45845: v#2288295;v#1100145;v#2210119;
45850: n#6844199;n#9251407;n#6842852;
45851: n#4933544;n#6533648;n#4946877;
45852: n#6533648;n#4933544;n#237078;
45853: n#6533648;n#4933544;n#237078;
45855: s#1199083;s#1199083;s#2067719;
45858: n#5145118;n#5163807;n#13303315;
45869: v#2351010;n#5145118;n#5141683;
45871: n#9428967;n#3177349;n#11445395;
45872: n#13381145;n#3177349;n#372448;
45873: v#2310855;n#372448;v#1500372;
45874: v#2310855;v#1575675;n#3177349;
45892: v#2324182;n#6293460;n#13398953;
45893: n#53913;n#1262713;n#384933;
45899: n#10236304;n#7969695;n#3544360;
45907: n#9737653;n#6928744;n#8157405;
45911: n#8287844;n#5984936;
45917: n#2785365;n#2784732;n#2784218;
45918: n#8249038;n#2785365;n#4087899;
45919: n#8249038;n#8249960;n#2784732;
45920: n#8249038;n#2784218;n#2784998;
45921: n#8249038;n#8249960;n#2784732;
45922: n#8249038;n#3438071;n#2870092;
45923: n#8249038;n#2784218;v#367685;
45928: n#1224700;s#1117823;v#849080;
45933: n#10130877;n#10130686;n#10112591;
45940: n#9623038;n#3234795;n#10162991;
45943: n#10303814;n#10283170;n#9605289;
45945: n#4798365;n#4763650;n#13809920;
45946: n#4798365;n#4763650;n#4676959;
45947: n#4798365;n#4763650;r#84223;
45949: n#4798365;n#4763650;r#84223;
45951: n#9369692;n#9400987;n#9444100;
45955: n#4018399;n#2823848;n#1160729;
45991: n#10000787;v#2391803;v#2395395;
46029: n#15164750;n#15164570;n#8398580;
46030: n#15164750;n#15163797;n#15136147;
46031: n#15164750;n#15164463;n#2873839;
46032: n#15164750;n#8398580;n#15164570;
46034: n#13439390;s#1520655;n#13571217;
46035: n#13439390;s#1520655;s#2022556;
46038: s#669021;s#669021;s#1639230;
46041: n#6083243;n#7993279;a#2891564;
46043: n#5685879;n#9454412;n#14409489;
46044: n#5685879;n#9454412;v#1474034;
46046: v#2677797;n#5685879;n#9454412;
46048: v#1462928;n#5685879;v#2677797;
46049: v#1462928;v#1474034;v#1521124;
46056: n#13077295;n#13516176;v#210738;
46074: s#1050890;n#8179205;a#2022953;
46075: n#785045;n#785263;n#188007;
46076: n#10024362;n#13736799;n#6199142;
46082: r#103664;n#3299261;n#14857497;
46095: n#6492939;n#6493392;n#2962545;
46096: n#6492939;n#6493392;n#7565083;
46097: n#6493392;n#6492939;n#6495000;
46098: n#3918737;n#10383237;n#10383505;
46100: n#6763273;n#6865345;n#4727694;
46108: v#2249147;v#652346;v#618451;
46131: n#3365592;n#3365991;n#6658118;
46134: n#3365991;n#3365592;n#3928116;
46137: n#3365592;n#3365991;n#9282208;
46138: v#1412346;v#1809064;n#3365592;
46142: v#1251228;v#36780;v#1249724;
46147: s#2549393;s#2548820;a#2547317;
46150: n#134574;n#5314919;v#1398032;
46152: n#5314919;n#1458105;n#13903738;
46157: n#6817782;n#6791372;n#7270179;
46158: n#5737153;n#6504462;n#6763273;
46159: n#5737153;v#657728;v#1004062;
46160: n#4694441;n#72261;n#4682462;
46161: v#1004062;v#1588493;v#662182;
46162: v#1004062;v#1588493;v#662182;
46163: n#5737153;n#13688033;n#7262108;
46164: v#657728;n#5737153;v#199659;
46170: n#13688033;n#6817782;n#7270179;
46172: r#89076;r#87542;n#9539517;
46173: a#1201422;n#10182913;s#1201937;
46174: n#10182913;a#1201422;s#1201937;
46226: n#9179606;n#6713026;r#294459;
46229: n#138799;n#5577190;n#7967982;
46232: n#5959578;n#5959785;n#908492;
46233: n#13662190;s#764484;n#9688804;
46241: n#4548771;n#3303965;n#1264447;
46242: n#4594218;n#4594489;n#4426788;
46243: n#4594218;n#4594489;n#6622709;
46249: n#9178999;n#6740402;n#5651680;
46250: n#5651680;n#9178999;n#5819149;
46252: n#6739990;n#5651680;v#634472;
46266: n#9713108;n#6952572;a#2960686;
46268: n#9713108;n#6952572;a#2960686;
46271: n#15265518;n#235435;v#345761;
46272: n#15265518;n#235435;v#348746;
46273: n#15265518;n#7325190;n#241699;
46275: v#345761;v#348746;v#1864230;
46277: v#345761;v#348746;n#15265518;
46278: v#1910373;n#867357;v#348746;
46281: n#4256520;n#4177755;n#3115762;
46285: n#9699020;a#3058754;
46286: a#3058754;n#9699020;
46287: n#9690496;a#2978000;
46288: a#2978000;n#9690496;
46290: n#5832745;n#3679986;n#2924023;
46291: n#5832745;n#3679986;v#750532;
46292: n#5832745;n#3679986;v#750532;
46297: v#1487311;n#5832745;n#3679986;
46301: n#12662772;n#7929519;n#7929351;
46302: n#7929519;n#7929351;n#12662772;
46303: n#7929519;n#7929351;n#4972451;
46305: v#1185740;n#7574602;v#1185875;
46314: n#9690621;a#3042812;n#9690762;
46315: a#3042812;n#9690621;n#9690762;
46316: s#2444627;n#8494459;s#1605327;
46319: n#5006898;n#6328643;n#8108972;
46342: n#6328643;v#54628;v#1627355;
46344: n#9605289;n#1321456;s#1488616;
46345: n#9605289;n#1321456;s#1488616;
46350: n#7960769;n#1325775;n#7959943;
46352: a#3085213;n#9347008;a#463784;
46353: n#6332919;n#4286128;a#1106405;
46356: n#12648045;n#7751004;n#4971675;
46357: n#7751004;n#12648045;n#453935;
46358: n#7751004;n#12648045;n#4971675;
46360: a#1131043;n#4852088;n#745637;
46361: n#4852088;n#745637;a#1131043;
46396: a#2825770;n#3575240;s#1196775;
46398: s#2189396;n#13749407;
46399: n#13901321;n#3944672;n#3854815;
46400: n#3945167;n#3944672;n#13901321;
46401: n#3945459;n#3945167;n#3372029;
46411: a#3102278;n#6332919;
46412: a#1918984;s#302951;s#1455540;
46413: s#302951;a#1922763;v#1764800;
46414: a#1922763;a#43615;s#302951;
46415: a#1918984;s#302951;s#1564315;
46416: v#1764800;v#2190188;s#302951;
46417: n#4982207;s#302951;n#4651974;
46418: n#4904352;n#7515560;n#13970236;
46420: n#8600760;
46425: n#3724870;n#3725035;n#1049475;
46426: n#3724870;v#2147603;n#8253450;
46427: n#10297531;n#10111144;n#9874518;
46430: n#223983;n#221178;n#224260;
46431: v#479176;n#223983;n#224260;
46432: n#659048;v#64487;v#1232738;
46434: n#9386422;n#6326406;n#14585519;
46435: n#9386422;n#14585519;n#6326406;
46436: n#9386422;n#6326406;n#14585519;
46454: a#2505716;s#2506029;a#356648;
46458: a#1717117;s#1747713;a#2391455;
46459: a#1717117;s#1747713;a#2391455;
46464: n#8369406;n#8368907;n#15249636;
46465: v#1453433;v#1454810;v#1199009;
46466: v#341757;v#1917845;v#2099544;
46467: s#1462324;v#341757;v#2058756;
46473: n#15169248;n#7344015;n#11517776;
46474: n#15169248;n#7344015;n#11517776;
46475: n#15169248;n#7344015;n#11517776;
46477: n#13284562;v#2284096;n#13871134;
46478: v#2284096;n#13284562;n#9222051;
46479: n#6955087;n#8300190;n#492724;
46480: n#6955087;n#8300190;n#492724;
46484: n#8377332;n#15287830;n#7342495;
46485: n#7342495;n#8377332;n#15287830;
46486: n#7342495;n#15287830;n#8377332;
46488: n#2834778;n#7342495;n#15287830;
46489: v#1935476;n#2834778;n#7341038;
46490: n#7341038;v#1935476;n#15287830;
46494: v#2509919;v#1711749;v#2695895;
46498: n#4765038;n#6199142;n#1206153;
46499: n#4765038;n#6199142;n#1206153;
46501: n#6349828;n#6349597;n#13568238;
46504: n#13704274;n#13705415;n#13703804;
46506: n#2431337;n#2430045;n#2431122;
46508: n#14915462;n#13485270;n#7621001;
46511: s#73465;a#73048;a#1571363;
46522: s#1048406;a#1148283;s#2565583;
46524: a#1148283;s#1048406;a#588797;
46531: n#8616311;n#5905706;n#4096066;
46536: s#1015392;n#6305109;s#1015185;
46539: n#5332802;n#2463403;n#5512337;
46547: n#3560430;n#1974229;n#3457902;
46551: v#72012;n#15246258;n#370458;
46553: v#72012;n#6289472;n#15246258;
46556: s#2571277;s#440579;s#439905;
46561: n#9876454;n#9876701;n#7677982;
46562: n#15251336;a#2998988;n#15205532;
46563: v#1885430;v#1418389;n#3029445;
46564: n#1160342;n#1246334;n#13301328;
46565: n#1160342;a#1824244;s#1513512;
46566: n#1160342;
46573: s#1277097;
46574: a#2183611;
46575: a#2183611;n#13597585;
46576: n#13597585;a#2183611;
46577: a#2183611;n#13597585;
46578: a#2183611;n#13597585;
46579: a#2183611;n#13597585;
46608: n#6423619;n#6490451;n#3376279;
46613: n#31264;n#6016853;n#7959943;
46614: n#31264;n#6016853;n#14621446;
46618: v#656576;n#31264;v#1089878;
46623: n#4240097;n#13154494;n#2982232;
46631: s#1968033;a#678666;s#1968165;
46632: r#85811;a#976508;r#86000;
46637: n#2449183;n#9743690;n#2449350;
46638: n#2679788;a#48129;a#1417451;
46641: n#455599;n#430606;n#456199;
46642: n#2152991;n#583089;n#430606;
46644: n#1051082;n#4652177;n#4657631;
46646: n#9939313;n#3335030;n#9906538;
46649: a#128572;s#128733;n#10661002;
46653: s#1585022;n#10348989;s#599468;
46654: s#1431471;s#2282843;s#2282985;
46655: n#6284898;n#14512817;n#13792579;
46656: n#6284898;n#14512817;n#14420240;
46657: n#3417345;n#3417749;n#8439808;
46658: n#3417345;n#3417749;n#8615374;
46659: n#3417749;n#3417345;n#4610879;
46661: v#1740969;n#3417345;n#8439808;
46662: n#3417345;n#3417749;n#8439808;
46666: v#1384439;v#2304982;v#1380638;
46668: v#1384439;v#2305586;v#1380638;
46674: n#1069980;v#1189427;v#1189604;
46675: n#1069980;v#1189427;v#1189604;
46676: v#1189427;v#1189604;n#5146471;
46677: a#976508;a#981818;s#1270486;
46678: a#976508;a#981818;s#1270486;
46680: a#983573;n#4815002;n#1069980;
46681: n#4815002;s#1059711;s#1549568;
46684: r#86000;a#976508;a#981818;
46685: r#86000;a#976508;a#981818;
46686: s#1059711;a#2260035;r#86404;
46688: n#4815002;n#1069980;s#1873163;
46690: v#636574;v#251615;v#251791;
46695: v#350461;v#2679530;v#2719399;
46701: n#14648100;n#6832680;n#5035353;
46712: n#6470073;n#14974264;n#6269956;
46716: v#1001643;n#6508816;n#3337140;
46717: v#1001643;n#3337140;n#6494816;
46719: n#8432345;n#8431437;n#5862721;
46720: n#3336839;n#6508816;n#3337140;
46721: v#1387022;v#1001643;n#3337140;
46725: v#2150948;v#690614;v#2129289;
46726: n#3931044;n#5928118;n#4677716;
46727: n#3931044;n#5928118;n#3391464;
46728: n#3265874;n#5928118;n#4677716;
46729: n#4677716;n#5928118;n#3931044;
46733: v#2547586;v#82081;v#1181295;
46735: v#2547586;v#82081;v#2726164;
46739: n#6586471;n#6261260;n#14419164;
46740: n#14419164;n#6586471;n#3673971;
46742: v#1354673;v#713167;v#2622234;
46744: n#3402080;n#342916;n#5921123;
46746: n#4612373;n#9991026;n#9278295;
46747: s#2201970;n#13740168;n#13742358;
46750: n#13752911;n#13753067;n#499924;
46751: n#13752911;n#13753067;n#13753585;
46753: n#582388;n#582868;n#86809;
46755: n#1133106;n#86809;n#582388;
46756: n#620752;n#918176;v#2419773;
46757: n#620752;n#8180639;n#918176;
46759: v#2419773;n#620752;n#918176;
46760: n#5554189;n#10278128;n#5554653;
46762: n#5554405;n#5553288;n#5552607;
46763: n#5554405;n#5553288;n#2876084;
46764: n#5554405;n#7648408;n#5553288;
46765: n#5554405;n#5553288;n#5552607;
